"","nr","alg","argument","set","scaled","FM","AR"
"1",1,"spectral","3","atom",FALSE,0.658145001310653,0.199560254367297
"2",2,"spectral","3","chainlink",FALSE,0.540693585162799,-0.000828457545542144
"3",3,"spectral","3","engytime",FALSE,0.611327371447746,0.159748239574131
"4",4,"spectral","3","hepta",FALSE,0.804793913216544,0.762223649960501
"5",5,"spectral","3","lsun",FALSE,0.611492843151749,0.390916523872068
"6",6,"spectral","3","target",FALSE,0.600020601176134,0.327277700371766
"7",7,"spectral","3","tetra",FALSE,0.835653988708188,0.776778413736713
"8",8,"spectral","3","twodiamonds",FALSE,0.79832377544779,0.588562425140419
"9",9,"spectral","3","wingnut",FALSE,0.968954342543227,0.937938792608076
"10",10,"spectral","3","dense",FALSE,0.542720420239974,0.00588566549801091
"11",11,"spectral","3","fuzzyx",FALSE,0.444672609697536,0.279021114019265
"12",12,"spectral","3","line",FALSE,0.676920565791141,0.219330947153624
"13",13,"spectral","3","parabolic",FALSE,0.819685531567053,0.639639439767552
"14",14,"spectral","3","ring",FALSE,0.647753911428662,0.130527925241681
"15",15,"spectral","3","zigzag",FALSE,0.679016361860521,0.378651348776799
"16",16,"spectral","3","by_voivodeship",FALSE,0.292383934916134,0.171466017151092
"17",17,"spectral","3","pizza1",FALSE,0.710746486124068,0.558639996047324
"18",18,"spectral","3","pizza2",FALSE,0.68428570245156,0.557197583416415
"19",19,"spectral","3","simple_agglomerations1",FALSE,0.916367395290858,0.893854634444185
"20",20,"spectral","3","simple_agglomerations2",FALSE,0.659769950348,0.474475271528693
"21",21,"spectral","3","simple_agglomerations3",FALSE,0.733076907436318,0.683724984021865
"22",22,"spectral","3","iris",FALSE,0.79910591388511,0.694145562655804
"23",23,"spectral","3","iris5",FALSE,0.706154025153574,0.503288274856707
"24",24,"spectral","3","square",FALSE,0.779881752987935,0.544219080786992
"25",25,"spectral","3","a1",FALSE,0.461727255299871,0.348157785283582
"26",26,"spectral","3","a2",FALSE,0.667286446828511,0.64473863746566
"27",27,"spectral","3","a3",FALSE,0.382425768450519,0.279553150758476
"28",28,"spectral","3","aggregation",FALSE,0.616511286642731,0.509874328728713
"29",29,"spectral","3","compound",FALSE,0.594781446481147,0.46737788958947
"30",30,"spectral","3","d31",FALSE,0.591251836136597,0.555482212416488
"31",31,"spectral","3","flame",FALSE,0.589877614036861,-0.000518072667101449
"32",32,"spectral","3","jain",FALSE,0.588991490812351,-0.044716909020586
"33",33,"spectral","3","pathbased",FALSE,0.672893982807612,0.459466051537195
"34",34,"spectral","3","r15",FALSE,0.559332198612296,0.499762884530922
"35",35,"spectral","3","s1",FALSE,0.787058397448754,0.765137263772891
"36",36,"spectral","3","s2",FALSE,0.550954455148367,0.466004370274985
"37",37,"spectral","3","s3",FALSE,0.583455846742173,0.550251517878519
"38",38,"spectral","3","s4",FALSE,0.505283820325115,0.464720945281005
"39",39,"spectral","3","spiral",FALSE,0.624626438814496,0.400093685838836
"40",40,"spectral","3","unbalance",FALSE,0.664066180905657,0.542493818251255
"41",41,"spectral","3","cross",FALSE,0.44137716207591,0.0100002855053434
"42",42,"spectral","3","smile",FALSE,0.567652819033815,0.31626181496831
"43",43,"spectral","3","twosplashes",FALSE,0.559324772101438,-0.00185783110083077
"44",44,"spectral","3","x1",FALSE,0.705307121211416,0.430479098365799
"45",45,"spectral","3","x2",FALSE,0.795185514456828,0.688287234237034
"46",46,"spectral","3","x3",FALSE,0.788301499881715,0.708240226617087
"47",47,"spectral","3","z1",FALSE,0.56186770457531,0.27447232747776
"48",48,"spectral","3","z2",FALSE,0.648865820397462,0.476454921557973
"49",49,"spectral","3","z3",FALSE,0.665163577356724,0.487295459176122
"50",50,"spectral","4","atom",FALSE,0.653943698745643,0.177820420774804
"51",51,"spectral","4","chainlink",FALSE,1,1
"52",52,"spectral","4","engytime",FALSE,0.901729795367031,0.802761194020789
"53",53,"spectral","4","hepta",FALSE,0.888434065510097,0.868479348826151
"54",54,"spectral","4","lsun",FALSE,0.735475524221547,0.47334134711613
"55",55,"spectral","4","target",FALSE,0.519166530357968,0.21134696376185
"56",56,"spectral","4","tetra",FALSE,0.74276570788006,0.633274608304362
"57",57,"spectral","4","twodiamonds",FALSE,0.997496875014685,0.99499999220708
"58",58,"spectral","4","wingnut",FALSE,0.501841828469621,-0.000975038915115134
"59",59,"spectral","4","dense",FALSE,0.869815741058992,0.738310753076968
"60",60,"spectral","4","fuzzyx",FALSE,0.619688195006316,0.503674816459489
"61",61,"spectral","4","line",FALSE,0.646613492302909,0.151463612243257
"62",62,"spectral","4","parabolic",FALSE,0.829353921692535,0.659002752860247
"63",63,"spectral","4","ring",FALSE,0.64674218654875,0.0871551147601633
"64",64,"spectral","4","zigzag",FALSE,0.674620419839075,0.457184090265388
"65",65,"spectral","4","by_voivodeship",FALSE,0.390816854272921,0.304019685114921
"66",66,"spectral","4","pizza1",FALSE,0.757644010632448,0.627239593637491
"67",67,"spectral","4","pizza2",FALSE,0.555799523173096,0.387922656344931
"68",68,"spectral","4","simple_agglomerations1",FALSE,0.80874042417743,0.754079035644266
"69",69,"spectral","4","simple_agglomerations2",FALSE,0.5098581753711,0.2402418189494
"70",70,"spectral","4","simple_agglomerations3",FALSE,0.557511235713262,0.427412801273646
"71",71,"spectral","4","iris",FALSE,0.62455313233424,0.421960077378411
"72",72,"spectral","4","iris5",FALSE,0.570717255723891,0.287261522105665
"73",73,"spectral","4","square",FALSE,0.774708932973705,0.532466115451086
"74",74,"spectral","4","a1",FALSE,0.670607250327083,0.630847427554859
"75",75,"spectral","4","a2",FALSE,0.478900195608919,0.381336355987731
"76",76,"spectral","4","a3",FALSE,0.521356562951779,0.444398493310778
"77",77,"spectral","4","aggregation",FALSE,0.810101039499022,0.758081166934741
"78",78,"spectral","4","compound",FALSE,0.559567260079966,0.36713496665212
"79",79,"spectral","4","d31",FALSE,0.6383007639947,0.596558397340647
"80",80,"spectral","4","flame",FALSE,0.591634772099076,0.0753609155245346
"81",81,"spectral","4","jain",FALSE,0.790449630182808,0.514616982682244
"82",82,"spectral","4","pathbased",FALSE,0.672925816712896,0.454075424617536
"83",83,"spectral","4","r15",FALSE,0.810471275581605,0.785761797539822
"84",84,"spectral","4","s1",FALSE,0.65660987662418,0.594936024605635
"85",85,"spectral","4","s2",FALSE,0.815158934403675,0.79983918709734
"86",86,"spectral","4","s3",FALSE,0.697403320614836,0.67525303108137
"87",87,"spectral","4","s4",FALSE,0.562652636203458,0.528924081852656
"88",88,"spectral","4","spiral",FALSE,0.610710512764132,0.36745966663618
"89",89,"spectral","4","unbalance",FALSE,0.657600472423093,0.5266939075477
"90",90,"spectral","4","cross",FALSE,0.417227514969296,0.0276449298124665
"91",91,"spectral","4","smile",FALSE,0.520322416259235,0.327155067567496
"92",92,"spectral","4","twosplashes",FALSE,0.655922243569934,0.210155713304328
"93",93,"spectral","4","x1",FALSE,0.725542319619744,0.53831231813773
"94",94,"spectral","4","x2",FALSE,0.66782776896635,0.473535045590941
"95",95,"spectral","4","x3",FALSE,0.743057776973527,0.62349830915773
"96",96,"spectral","4","z1",FALSE,0.413017085259876,0.0909812857154406
"97",97,"spectral","4","z2",FALSE,0.651681776707229,0.461749850514226
"98",98,"spectral","4","z3",FALSE,0.745578487927804,0.640683163278937
"99",99,"spectral","5","atom",FALSE,0.699717707913589,0.344475420243451
"100",100,"spectral","5","chainlink",FALSE,0.502364138976911,-0.000988507714068285
"101",101,"spectral","5","engytime",FALSE,0.703919930064341,0.377775512233627
"102",102,"spectral","5","hepta",FALSE,0.841418680951519,0.808039488901475
"103",103,"spectral","5","lsun",FALSE,0.67334829679508,0.476560199191454
"104",104,"spectral","5","target",FALSE,0.61584603292745,0.38647521890779
"105",105,"spectral","5","tetra",FALSE,0.738464294284611,0.624804538193834
"106",106,"spectral","5","twodiamonds",FALSE,0.658145001310653,0.199560254367297
"107",107,"spectral","5","wingnut",FALSE,0.507990495270931,0.0169495131889672
"108",108,"spectral","5","dense",FALSE,0.685109347579093,0.322011222692063
"109",109,"spectral","5","fuzzyx",FALSE,0.552817081714671,0.41584646116384
"110",110,"spectral","5","line",FALSE,0.631710309718521,0.11506956182551
"111",111,"spectral","5","parabolic",FALSE,0.651771883351706,0.0363498028296044
"112",112,"spectral","5","ring",FALSE,0.646957455773962,0.119211434230658
"113",113,"spectral","5","zigzag",FALSE,0.778875231959354,0.499391893568964
"114",114,"spectral","5","by_voivodeship",FALSE,0.470250799563625,0.418551827815543
"115",115,"spectral","5","pizza1",FALSE,1,1
"116",116,"spectral","5","pizza2",FALSE,0.955794219127528,0.946329616944834
"117",117,"spectral","5","simple_agglomerations1",FALSE,0.752435696610466,0.674033707538154
"118",118,"spectral","5","simple_agglomerations2",FALSE,0.520539361297886,0.261517073803881
"119",119,"spectral","5","simple_agglomerations3",FALSE,0.802832131840401,0.744939319165666
"120",120,"spectral","5","iris",FALSE,0.63005803850299,0.425179562776401
"121",121,"spectral","5","iris5",FALSE,0.797381492050391,0.654818610319997
"122",122,"spectral","5","square",FALSE,0.65624230454303,0.18954279278135
"123",123,"spectral","5","a1",FALSE,0.438144351237199,0.306134232673466
"124",124,"spectral","5","a2",FALSE,0.631507507802247,0.577952596277233
"125",125,"spectral","5","a3",FALSE,0.602256106072775,0.546347428606484
"126",126,"spectral","5","aggregation",FALSE,0.709755871297486,0.635088514045059
"127",127,"spectral","5","compound",FALSE,0.554621280148526,0.39810964967273
"128",128,"spectral","5","d31",FALSE,0.508944090344806,0.417575909277001
"129",129,"spectral","5","flame",FALSE,0.725436780018535,0.431157323542321
"130",130,"spectral","5","jain",FALSE,0.692081993720846,0.306352843660798
"131",131,"spectral","5","pathbased",FALSE,0.53591821488971,0.123092029416877
"132",132,"spectral","5","r15",FALSE,0.666649623870465,0.612225034627467
"133",133,"spectral","5","s1",FALSE,0.505997509447749,0.369152654335087
"134",134,"spectral","5","s2",FALSE,0.702786722501621,0.661092237727379
"135",135,"spectral","5","s3",FALSE,0.590012277826431,0.549156991421383
"136",136,"spectral","5","s4",FALSE,0.528330819190121,0.488420872230128
"137",137,"spectral","5","spiral",FALSE,0.462689147730859,0.166106170926644
"138",138,"spectral","5","unbalance",FALSE,0.594958220639682,0.458826106860655
"139",139,"spectral","5","cross",FALSE,0.423417141831732,0.153011854821121
"140",140,"spectral","5","smile",FALSE,0.411494394296753,0.146298545253677
